occurrenceID,family,familyAccepted,acceptedNameUsage,acceptedNameUsageWithoutAuthorship,decimalLatitude,decimalLongitude,georeferenceProtocol,georeferenceVerificationStatus,georeferencedBy,georeferencedDate,georeferencePrecision,coordinateUncertaintyInMeters,acceptedNameUsage,valid,validation_taxonomy,validation_cultivated,validation_duplicated,validation_native,validation_georeference,contributor,remarks
occurrence:rj:1647819,Rubiaceae,RUBIACEAE,"Rudgea allophylla Standl.","Rudgea allophylla",-22,-42.5,,ok,,,,,"Rudgea allophylla Standl.",false,,,yes,,,"Raquel Negrão ; Tomás Amorim ; Raquel",
occurrence:rj:1650196,Dichapetalaceae,DICHAPETALACEAE,"Stephanopodium estrellense Baill.","Stephanopodium estrellense",-22.935203,-43.471631,sig,ok,"Fernanda Wimmer",,,"centroide de municipio","Stephanopodium estrellense Baill.",true,valid,no,no,native,valid,"Fernanda Wimmer ; Herison Medeiros  ; Eduardo Fernandez",
occurrence:rj:1650197,Dichapetalaceae,DICHAPETALACEAE,"Stephanopodium estrellense Baill.","Stephanopodium estrellense",-108339,-528731,,nok,"Fernanda Wimmer",,,,"Stephanopodium estrellense Baill.",false,,,yes,,,"Fernanda Wimmer ; Herison Medeiros  ; Eduardo Fernandez",
occurrence:rj:1652985,Sterculiaceae,MALVACEAE,"Waltheria glazioviana K.Schum.","Waltheria glazioviana",-22.937212,-43.124592,"google earth",ok,,,,"250 a 1000 m ","Waltheria glazioviana K.Schum.",,,,,,,"Fernanda Wimmer ; Eduardo Fernandez",
occurrence:rj:1652986,Sterculiaceae,MALVACEAE,"Waltheria glazioviana K.Schum.","Waltheria glazioviana",-22.937212,-43.124592,"google earth",ok,,,,"250 a 1000 m ","Waltheria glazioviana K.Schum.",,,,,,,"Fernanda Wimmer ; Eduardo Fernandez",
occurrence:rj:1652987,Sterculiaceae,MALVACEAE,"Waltheria glazioviana K.Schum.","Waltheria glazioviana",-22.937212,-43.124592,"google earth",ok,,,,"250 a 1000 m ","Waltheria glazioviana K.Schum.",,,,,,,"Fernanda Wimmer ; Eduardo Fernandez",
occurrence:rj:1652999,Sterculiaceae,MALVACEAE,"Waltheria petiolata K.Schum.","Waltheria petiolata",-108339,-528731,,nok,"Fernanda Wimmer",,,,"Waltheria petiolata K.Schum.",true,,,,,,"Fernanda Wimmer ; Eduardo Fernandez",
occurrence:rj:1658035,Myrtaceae,MYRTACEAE,"Myrciaria pallida O.Berg","Myrciaria pallida",-22.361944,-44.810278,coletor,ok,,,,"5 a 10 km","Myrciaria pallida O.Berg",false,unknown,unknown,yes,unknown,unknown,"Rogerio Braga ; Lucas Moulton",
occurrence:rj:1660128,Euphorbiaceae,EUPHORBIACEAE,"Acalypha macularis Pax & K.Hoffm.","Acalypha macularis",-22.482222,-42.9125,coletor,ok,,,,,"Acalypha macularis Pax & K.Hoffm.",true,valid,no,unknown,native,valid,"Fernanda Hurbath Pita Brandão ; Leonardo Novaes ; Eduardo Fernandez",
occurrence:rj:1663987,Myrtaceae,MYRTACEAE,"Eugenia cinerascens Gardner","Eugenia cinerascens",-22.495637,-43.07365,sig,ok,,,,"centroide ","Eugenia cinerascens Gardner",true,valid,no,no,native,valid,"Augusto Giaretta ; Victor Menezes ; Lucas Moulton",
