family,scientificName,endemic,altitude
FABACEAE,"Mimosa ulbrichiana",yes,120~1200
FABACEAE,"Mimosa ulei",yes,1000~1400
FABACEAE,"Mimosa virgula",yes,800~1400
APOCYNACEAE,"Minaria campanuliflora",yes,1400~1600
ASTERACEAE,"Minasia cabralensis",yes,900~1250
ASTERACEAE,"Minasia lewinsohnii",yes,
RUBIACEAE,"Mitracarpus pusillus",yes,1000
FABACEAE,"Moldenhawera acuminata",yes,
PRIMULACEAE,"Myrsine cipoensis",yes,
APOCYNACEAE,"Nephradenia filipes",yes,660
POACEAE,"Ophiochloa bryoides",yes,950
BROMELIACEAE,"Orthophytum mello-barretoi",yes,1200
BROMELIACEAE,"Orthophytum schulzianum",,
LORANTHACEAE,"Oryctina eubrachioides",yes,
POACEAE,"Otachyrium piligerum",yes,500~1115
OCHNACEAE,"Ouratea acicularis",yes,407~589
OXALIDACEAE,"Oxalis areolata",yes,
OXALIDACEAE,"Oxalis pretoensis",yes,1000
OXALIDACEAE,"Oxalis veadeirosensis",yes,1000~1200
APOCYNACEAE,"Oxypetalum habrogynum",yes,1200
APOCYNACEAE,"Oxypetalum helios",yes,1396
APOCYNACEAE,"Oxypetalum pardense",yes,
ERIOCAULACEAE,"Paepalanthus albidus",yes,1152
ERIOCAULACEAE,"Paepalanthus albo-tomentosus",yes,910~1800
ERIOCAULACEAE,"Paepalanthus almasensis",yes,1039
ERIOCAULACEAE,"Paepalanthus anamariae",yes,1200~1400
ERIOCAULACEAE,"Paepalanthus argenteus",yes,1000~1400
ERIOCAULACEAE,"Paepalanthus aureus",yes,1000~1300
ERIOCAULACEAE,"Paepalanthus barbiger",yes,1200
ERIOCAULACEAE,"Paepalanthus barbulatus",yes,934~1800
ERIOCAULACEAE,"Paepalanthus cinereus",,1400~1850
ERIOCAULACEAE,"Paepalanthus complanatus",yes,1100~1200
ERIOCAULACEAE,"Paepalanthus contasensis",yes,1000~1800
ERIOCAULACEAE,"Paepalanthus cordatus",yes,
ERIOCAULACEAE,"Paepalanthus digitiformis",yes,650~700
ERIOCAULACEAE,"Paepalanthus erigeron",yes,640~1800
ERIOCAULACEAE,"Paepalanthus globulifer",yes,1200~1300
ERIOCAULACEAE,"Paepalanthus harleyi",yes,1300~1850
ERIOCAULACEAE,"Paepalanthus homomallus",yes,1051~1300
ERIOCAULACEAE,"Paepalanthus inopinatus",yes,980~1800
ERIOCAULACEAE,"Paepalanthus luetzelburgii",yes,540~1200
ERIOCAULACEAE,"Paepalanthus obtusifolius",yes,60~1400
ERIOCAULACEAE,"Paepalanthus pulvinatus",yes,
ERIOCAULACEAE,"Paepalanthus revolutus",yes,1050~1137
ERIOCAULACEAE,"Paepalanthus rupestris",yes,
ERIOCAULACEAE,"Paepalanthus senaeanus",yes,1200~1500
ERIOCAULACEAE,"Paepalanthus stannardii",yes,1200~1850
ERIOCAULACEAE,"Paepalanthus stuetzelii",yes,
ERIOCAULACEAE,"Paepalanthus superbus",yes,1100~1400
ERIOCAULACEAE,"Paepalanthus urbanianus",yes,1000~1500
GESNERIACEAE,"Paliavana plumerioides",yes,600~1200
POACEAE,"Panicum ephemeroides",yes,860
POACEAE,"Panicum noterophilum",yes,850~920
POACEAE,"Panicum nutabundum",yes,
CARYOPHYLLACEAE,"Paronychia fasciculata",yes,1300~1800
POACEAE,"Paspalum biaristatum",yes,
POACEAE,"Paspalum brachytrichum",yes,950~1600
POACEAE,"Paspalum burmanii",yes,
POACEAE,"Paspalum cachimboense",yes,
POACEAE,"Paspalum filgueirasii",yes,1200
POACEAE,"Paspalum longiaristatum",yes,1000
