family,scientificNameWithoutAuthorship,scientificNameAuthorship,acceptedNameUsage
FABACEAE,"Chamaecrista ixodes","(H.S.Irwin & Barneby) H.S.Irwin & Barneby","Chamaecrista ixodes"
FABACEAE,"Chamaecrista lavradioides","(Benth.) H.S.Irwin & Barneby","Chamaecrista lavradioides"
FABACEAE,"Chamaecrista leucopilis","(Glaz. ex Harms) H.S.Irwin & Barneby","Chamaecrista leucopilis"
FABACEAE,"Chamaecrista macedoi","(H.S.Irwin & Barneby) H.S.Irwin & Barneby","Chamaecrista macedoi"
FABACEAE,"Chamaecrista ochrosperma","(H.S.Irwin & Barneby) H.S.Irwin & Barneby","Chamaecrista ochrosperma"
FABACEAE,"Chamaecrista pachyclada","(Harms) H.S.Irwin & Barneby","Chamaecrista pachyclada"
FABACEAE,"Chamaecrista phyllostachya","(Benth.) H.S.Irwin & Barneby","Chamaecrista phyllostachya"
FABACEAE,"Chamaecrista pilicarpa","(Glaz. ex Harms) H.S.Irwin & Barneby","Chamaecrista pilicarpa"
FABACEAE,"Chamaecrista polymorpha","(Glaz. ex Harms) H.S.Irwin & Barneby","Chamaecrista polymorpha"
FABACEAE,"Chamaecrista psoraleopsis","(H.S.Irwin & Barneby) H.S.Irwin & Barneby","Chamaecrista psoraleopsis"
FABACEAE,"Chamaecrista simplifacta","H.S.Irwin & Barneby","Chamaecrista simplifacta"
FABACEAE,"Chamaecrista vauthieri","(Benth.) H.S.Irwin & Barneby","Chamaecrista vauthieri"
FABACEAE,"Chamaecrista virginis","(H.S.Irwin & Barneby) H.S.Irwin & Barneby","Chamaecrista virginis"
FABACEAE,"Crotalaria goiasensis","Windler & S.G.Skinner","Crotalaria goiasensis"
FABACEAE,"Crotalaria irwinii","Windler & S.G.Skinner","Crotalaria irwinii"
FABACEAE,"Crotalaria rufipila",Benth.,"Crotalaria rufipila"
FABACEAE,"Desmodium glabrescens",Malme,"Desmodium glabrescens"
FABACEAE,"Desmodium juruenense",Hoehne,"Desmodium juruenense"
FABACEAE,"Mimosa cryptothamnos",Barneby,"Mimosa cryptothamnos"
FABACEAE,"Mimosa cyclophylla",Taub.,"Mimosa cyclophylla"
FABACEAE,"Mimosa decorticans",Barneby,"Mimosa decorticans"
FABACEAE,"Mimosa humivagans",Barneby,"Mimosa humivagans"
FABACEAE,"Mimosa laniceps",Barneby,"Mimosa laniceps"
FABACEAE,"Mimosa lepidophora",Rizzini,"Mimosa lepidophora"
FABACEAE,"Mimosa manidea",Barneby,"Mimosa manidea"
FABACEAE,"Mimosa oligosperma",Barneby,"Mimosa oligosperma"
