"family","scientificName","analysis","assessment","category","criteria"
"LAMIACEAE","Hyptis humilis","done","comments","EN","B1ab(i,ii,iii)+2ab(i,ii,iii)"
"LAMIACEAE","Hyptis irwinii","done","comments","NT",""
"LAMIACEAE","Hyptis loeseneriana","done","comments","DD",""
"LAMIACEAE","Hyptis nivea","done","comments","EN","B1ab(i,ii,iii,v)+2ab(i,ii,iii,v)"
"LAMIACEAE","Hyptis nubicola","done","comments","EN","B1ab(i,ii,iii)+2ab(i,ii,iii)"
"LAMIACEAE","Hyptis silvinae","done","comments","EN","B1ab(i,ii,iii)+2ab(i,ii,iii)"
"LAMIACEAE","Hyptis tenuifolia","open","comments","NT",""
"LENTIBULARIACEAE","Utricularia huntii","done","comments","DD",""
"LOGANIACEAE","Strychnos cerradoensis","done","comments","DD",""
"LORANTHACEAE","Oryctina eubrachioides","done","comments","EN","B1ab(i,ii,iii,iv)+2ab(i,ii,iii,iv)"
"LORANTHACEAE","Psittacanthus acinarius","done","comments","LC",""
"LORANTHACEAE","Struthanthus microstylus","done","comments","CR","B2ab(i,ii,iii,iv)"
"LORANTHACEAE","Struthanthus planaltinae","done","comments","EN","B1ab(i,ii,iii,iv)+2ab(i,ii,iii,iv)"
"LORANTHACEAE","Struthanthus pusillifolius","done","comments","EN","B1ab(i,ii,iii,iv)+2ab(i,ii,iii,iv)"
"LORANTHACEAE","Struthanthus rufo-furfuraceus","done","comments","DD",""
"LYTHRACEAE","Cuphea anamariae","done","comments","DD",""
"LYTHRACEAE","Cuphea cunninghamiifolia","done","comments","EN","B2ab(i,ii,iii)"
"LYTHRACEAE","Cuphea disperma","done","comments","LC",""
"LYTHRACEAE","Cuphea fuchsiifolia","done","comments","EN","B2ab(i,ii,iii)"
"LYTHRACEAE","Cuphea glareosa","done","comments","NT",""
"LYTHRACEAE","Cuphea lucens","done","comments","DD",""
"LYTHRACEAE","Cuphea potamophila","done","comments","DD",""
"LYTHRACEAE","Cuphea sclerophylla","done","comments","VU","B2ab(i,ii,iii,v)"
"LYTHRACEAE","Cuphea sincorana","done","comments","DD",""
"LYTHRACEAE","Cuphea warmingii","done","comments","DD",""
"LYTHRACEAE","Cuphea xanthopetala","done","comments","DD",""
"LYTHRACEAE","Diplusodon adpressipilus","done","comments","EN","B1ab(i,ii,iii)+2ab(i,ii,iii)"
"LYTHRACEAE","Diplusodon alatus","done","comments","EN","B1ab(i,ii,iii)+2ab(i,ii,iii)"
"LYTHRACEAE","Diplusodon appendiculosus","done","comments","DD",""
