family,scientificName,action,situation,details,references
MONIMIACEAE,"Macropeplus schwackeanus","1.1 Site/area protection","on going","Existem registros de coleta da espécie dentro do Parque Estadual do Ibitipoca (P. Andrade 976).",
MALPIGHIACEAE,"Mascagnia aptera","1.1 Site/area protection",needed,"A espécie ocorre nas proximidades do Parque Nacional da Chapada dos Guimarães, entretando a única população conhecida encontra-se nas margens de estrada, fora dos limites da mesma (CNCFlora, 2013).","CNCFlora. 2013. Base de Dados do Centro Nacional de Conservação da Flora. Disponível em: <http://cncflora.jbrj.gov.br/portal/>."
MELASTOMATACEAE,"Microlicia crebropunctata","1.1 Site/area protection","on going","Ocorre em Unidade de Conservação: Parque Nacional da Chapada dos Veadeiros (R.A. Drummond 346).",
MELASTOMATACEAE,"Microlicia giuliettiana","1.1 Site/area protection","on going","Ocorre em Unidade de Conservação: Parque Nacional da Chapada Diamantina (G. Almeida-Silva 182).",
MELASTOMATACEAE,"Microlicia mucugensis","1.1 Site/area protection","on going","Ocorre em unidade de conservação: Parque Municipal de Mucugê (P.N. Oliveira 3).",
MELASTOMATACEAE,"Microlicia noblickii","1.1 Site/area protection","on going","Ocorre em Unidade de Conservação: Parque Nacional da Chapada Diamantina (G. Almeida-Silva 283).",
MELASTOMATACEAE,"Microlicia oligochaeta","1.1 Site/area protection","on going","Ocorre em Unidade de Conservação: Parque Nacional da Chapada Diamantina (A. Moraes 15).",
MELASTOMATACEAE,"Microlicia scoparia","1.1 Site/area protection","on going","Ocorre em Unidade de Conservação: Parque Nacional da Serra da Canastra (Romero & Martins, 2002).","ROMERO, R.; MARTINS, A.B. Melastomataceae do Parque Nacional da Serra da Canastra, Minas Gerais, Brasil. Revista Brasileira de Botância, v.25, n.1, pp.19-24, 2002."
MELASTOMATACEAE,"Microlicia suborbicularifolia","1.1 Site/area protection","on going","Ocorre em Unidades de Conservação: RPPN do Caraça (R. Romero et al. 5305).",
FABACEAE,"Mimosa decorticans","1.1 Site/area protection","on going","Ocorre na Reserva Particular do Patrimônio Natural Linda Serra dos Topázio, em Goiás (L.M. Borges 537).",
FABACEAE,"Mimosa lepidophora","1.1 Site/area protection","on going","Ocorre no Parque Nacional da Serra das Confusões (G. Martinelli 16360) e Parque Nacional Serra da Capivara (J.R. Lemos 43AQ), Piauí. ",
