family,scientificNameWithoutAuthorship,scientificNameAuthorship,analysis,assessment,category,criteria
FABACEAE,"Chamaecrista vauthieri","(Benth.) H.S.Irwin & Barneby",done,comments,EN,"B1ab(i,ii,iii)"
FABACEAE,"Chamaecrista virginis","(H.S.Irwin & Barneby) H.S.Irwin & Barneby",done,comments,DD,
FABACEAE,"Crotalaria goiasensis","Windler & S.G.Skinner",done,comments,NT,
FABACEAE,"Crotalaria irwinii","Windler & S.G.Skinner",done,comments,CR,"B1ab(i,ii,iii)"
FABACEAE,"Crotalaria rufipila",Benth.,done,comments,NT,
FABACEAE,"Desmodium glabrescens",Malme,done,comments,EN,"B1ab(i,ii,iii)+2ab(i,ii,iii)"
FABACEAE,"Desmodium juruenense",Hoehne,done,comments,EN,"B2ab(i,ii,iii)"
FABACEAE,"Mimosa cryptothamnos",Barneby,done,comments,EN,"B1ab(i,ii,iii)+2ab(i,ii,iii)"
FABACEAE,"Mimosa cyclophylla",Taub.,done,comments,CR,"B2ab(i,ii,iii)"
FABACEAE,"Mimosa decorticans",Barneby,done,comments,LC,
FABACEAE,"Mimosa humivagans",Barneby,done,comments,DD,
FABACEAE,"Mimosa laniceps",Barneby,done,comments,DD,
FABACEAE,"Mimosa lepidophora",Rizzini,done,comments,NT,
FABACEAE,"Mimosa manidea",Barneby,done,comments,NT,
FABACEAE,"Mimosa oligosperma",Barneby,done,comments,EN,"B1ab(i,ii,iii)"
FABACEAE,"Mimosa pycnocoma",Benth.,done,comments,DD,
FABACEAE,"Mimosa pyrenea",Taub.,done,comments,NT,
FABACEAE,"Mimosa regina",Barneby,done,comments,EN,"B1ab(i,ii,iii,v)+2ab(i,ii,iii,v)"
FABACEAE,"Mimosa setosissima",Taub.,done,comments,LC,
FABACEAE,"Mimosa splendida",Barneby,done,comments,EN,"B1ab(i,ii,iii)+2ab(i,ii,iii)"
