family,scientificNameWithoutAuthorship,scientificNameAuthorship
ERYTHROXYLACEAE,"Erythroxylum magnoliifolium",A.St.-Hil.
ERYTHROXYLACEAE,"Erythroxylum occultum",Plowman
ERYTHROXYLACEAE,"Erythroxylum ovalifolium",Peyr.
EUPHORBIACEAE,"Acalypha ampliata","Pax & K.Hoffm."
EUPHORBIACEAE,"Acalypha aspericocca","Pax & K.Hoffm."
EUPHORBIACEAE,"Acalypha peckoltii",Müll.Arg.
EUPHORBIACEAE,"Acalypha pohliana",Müll.Arg.
EUPHORBIACEAE,"Acalypha radicans",Müll.Arg.
EUPHORBIACEAE,"Acalypha subsana","Mart. ex Colla"
EUPHORBIACEAE,"Actinostemon mandiocanus","(Müll.Arg.) Pax"
EUPHORBIACEAE,"Algernonia gibbosa","(Pax & K.Hoffm.) Emmerich"
EUPHORBIACEAE,"Algernonia glazioui",Emmerich
EUPHORBIACEAE,"Algernonia paulae",Emmerich
EUPHORBIACEAE,"Bernardia brevipes",Müll.Arg.
EUPHORBIACEAE,"Caperonia velloziana",Müll.Arg.
EUPHORBIACEAE,"Croton nigricans","(Mart. ex Schltdl.) Radcl.-Sm. & Govaerts"
EUPHORBIACEAE,"Croton tenuicaulis","van Ee & P.E. Berry"
EUPHORBIACEAE,"Dalechampia granadilla",Baill.
EUPHORBIACEAE,"Euphorbia laevigata",Lam.
EUPHORBIACEAE,"Euphorbia sabulicola",Boiss.
EUPHORBIACEAE,"Manihot corymbiflora","Pax & K.Hoffm."
EUPHORBIACEAE,"Ophthalmoblapton macrophyllum",Allemão
EUPHORBIACEAE,"Sebastiania pteroclada","(Müll.Arg.) Müll.Arg."
EUPHORBIACEAE,"Tragia peltata",Vell.
FABACEAE,"Aeschynomene bradei",Rudd
FABACEAE,"Bauhinia albicans",Vogel
FABACEAE,"Dahlstedtia glaziovii","(Taub.) M.J. Silva & A.M.G. Azevedo"
FABACEAE,"Dahlstedtia grandiflora","(A.M.G. Azevedo) M.J. Silva & A.M.G. Azevedo"
FABACEAE,"Dalbergia glaziovii",Harms
FABACEAE,"Inga arenicola",T.D.Penn.
FABACEAE,"Inga enterolobioides",T.D.Penn.
FABACEAE,"Luetzelburgia trialata","(Ducke) Ducke"
FABACEAE,"Lupinus dusenianus",C.P.Sm.
FABACEAE,"Lupinus hasslerianus",C.P.Sm.
FABACEAE,"Lupinus russellianus",C.P.Sm.
FABACEAE,"Machaerium firmum","(Vell.) Benth."
FABACEAE,"Machaerium legale","(Vell.) Benth."
FABACEAE,"Machaerium macaense","C.V. Mendonça, A.M.G. Azevedo & H.C. Lima"
FABACEAE,"Machaerium obovatum","Kuhlm. & Hoehne"
FABACEAE,"Martiodendron fluminense",Lombardi
FABACEAE,"Mimosa ernestii",Harms
FABACEAE,"Mimosa glazioui",Benth.
FABACEAE,"Moldenhawera polysperma","(Vell.) Stellfeld"
FABACEAE,"Ormosia altimontana","J.E. Mereles & H.C. Lima"
FABACEAE,"Peltogyne mattosiana",Rizzini
FABACEAE,"Piptadenia laxipinna",G.M.Barroso
FABACEAE,"Piptadenia polyptera",Benth.
FABACEAE,"Poecilanthe fluminensis","J.E. Mereles & H.C. Lima"
FABACEAE,"Senegalia miersii","(Benth.) Seigler & Ebinger"
FABACEAE,"Senegalia mikanii","(Benth.) Seigler & Ebinger"
FABACEAE,"Swartzia glazioviana","(Taub.) Glaz."
FABACEAE,"Swartzia submontana","R. B. Pinto, Torke & Mansano"
FABACEAE,"Tachigali beaurepairei","(Harms) L.G.Silva & H.C.Lima"
FABACEAE,"Zollernia glaziovii",Yakovlev
GENTIANACEAE,"Prepusa alata","Porto & Brade"
GENTIANACEAE,"Prepusa connata",Gardner
GENTIANACEAE,"Prepusa hookeriana",Gardner
GERANIACEAE,"Geranium brasiliense",Progel
GESNERIACEAE,"Besleria fluminensis",Brade
GESNERIACEAE,"Besleria melancholica","(Vell.) C.V.Morton"
GESNERIACEAE,"Nematanthus mirabilis","(Handro) Chautems"
GESNERIACEAE,"Nematanthus pycnophyllus","Chautems et al."
GESNERIACEAE,"Nematanthus serpens","(Vell.) Chautems"
GESNERIACEAE,"Sinningia bulbosa","(Ker Gawl.) Wiehler"
GESNERIACEAE,"Sinningia cardinalis","(Lehm.) H.E.Moore"
GESNERIACEAE,"Sinningia cochlearis","(Hook.) Chautems"
GESNERIACEAE,"Sinningia gesneriifolia","(Hanst.) Clayberg"
GESNERIACEAE,"Sinningia guttata",Lindl.
GESNERIACEAE,"Sinningia helleri",Nees
GESNERIACEAE,"Sinningia hirsuta","(Lindl.) G.Nicholson"
GESNERIACEAE,"Sinningia lateritia","(Lindl.) Chautems"
GESNERIACEAE,"Sinningia lindleyi",Schauer
GESNERIACEAE,"Sinningia muscicola","Chautems, T. Lopes & M. Peixoto"
GESNERIACEAE,"Sinningia pusilla","(Mart.) Baill."
GESNERIACEAE,"Vanhouttea bradeana",Hoehne
GESNERIACEAE,"Vanhouttea fruticulosa","(Glaz. ex Hoehne) Chautems"
GESNERIACEAE,"Vanhouttea gardneri","(Hook.) Fritsch"
GESNERIACEAE,"Vanhouttea lanata",Fritsch
HELICONIACEAE,"Heliconia pseudoaemygdiana","Emygdio & E.Santos"
IRIDACEAE,"Neomarica itatiaica","(Ravenna) A. Gil"
IRIDACEAE,"Neomarica longifolia","(Link & Otto) Sprague"
IRIDACEAE,"Neomarica northiana","(Schneev.) Sprague"
IRIDACEAE,"Neomarica silvestris","(Vell.) Chukr"
IRIDACEAE,"Trimezia organensis",Ravenna
ISOETACEAE,"Isoetes goebelii",U.Weber
ISOETACEAE,"Isoetes organensis",U.Weber
ISOETACEAE,"Isoetes ulei",U.Weber
LAMIACEAE,"Hyptis cymulosa",Benth.
LAMIACEAE,"Salvia benthamiana",Gardner
LAMIACEAE,"Salvia longibracteolata",E.P.Santos
LAMIACEAE,"Salvia rivularis",Gardner
LAMIACEAE,"Scutellaria tubiflora",Benth.
