family,scientificName,action,situation,details,references
ARACEAE,"Anthurium binotii","1 Land/water protection","on going","Espécie coletada no Parque Nacional da Serra dos Órgãos (M. Nadruz 1344) e na APA Petrópolis (G. Martinelli 16117).",
ARACEAE,"Anthurium binotii","3.4 Ex-situ conservation","on going","Cultivada no Jardim Botânico do Rio de Janeiro (RB 97097).",
ARISTOLOCHIACEAE,"Aristolochia raja","3.4 Ex-situ conservation",needed,"É necessário o cultivo da espécie em coleções ex-situ (Lírio e Freitas, com. pess.).",
ARISTOLOCHIACEAE,"Aristolochia raja","2.1 Site/area management",needed,"É necessária a gestão das UCs em que as subpopulações da espécie ocorrem para evitar a degradação do habitat e a exploração da espécie para uso ornamental (Lírio e Freitas, com. pess.).",
PIPERACEAE,"Peperomia arbuscula","1.1 Site/area protection",needed,"A espécie apresenta registro no Parque Nacional da Serra dos Órgãos (I.T.Moura, s.n., R type) e na Estação Ecológica do Paraíso (R.A. Engelmann 1125). ",
POLYGONACEAE,"Coccoloba rigida","1.1 Site/area protection",needed,"Existe um registro de ocorrência da espécie na APA da Massambaba (D.A.Cavalcanti; 168; A.A.M.Barros; 2168)",
CACTACEAE,"Rhipsalis mesembryanthemoides","1.1 Site/area protection",needed,,
CACTACEAE,"Rhipsalis mesembryanthemoides","3.4 Ex-situ conservation","on going","A espécie se encontra cultivada na coleção viva do Cactário do Instituto de Pesquisas Jardim Botânico do Rio de Janeiro (Gonzaga, com. pess.).  Está preservada no Parque Estadual Serra da Tiririca.",
POLYGALACEAE,"Polygala revoluta","1.1 Site/area protection","on going","A espécie ocorre em diferentes localidades do Parque Nacional Serra dos Órgãos: Campo das Antas (A.C.Brade; 20506), Pedra da Baléia (J.Vidal; 5703), Pedra do Sino (A.C.Brade; 16522), Pedra do Açu (A.C.Brade; 9504) e Morro das Bandeiras (C.Farney; 763) e da APA Petrópolis (G.Martinelli; 7396; G.Martinelli; 9870). ",
ARALIACEAE,"Schefflera succinea","1.1 Site/area protection","on going","Foi encontrada no Parque Estadual do Desengano (G. Martinelli 13395) e na Reserva Ecológica Municipal de Macaé de Cima (G. Martinelli 11929) atual APA de Macaé de Cima.",
ARALIACEAE,"Schefflera succinea","4.3 Awareness & communications","on going","Vieira et al. (1997 apud Fiaschi e Pirani, 2007) consideram que a espécie encontra-se em perigo de extinção devido à raridade e elevada especificidade de habitat.","Fiaschi, P., Pirani, J.R., 2007. Estudo taxonômico do gênero Schefflera J.R. Forst. & G. Forst. (Araliaceae) na Região Sudeste do Brasil. Bol. Botânica da Univ. São Paulo 25, 95–142."
ARALIACEAE,"Schefflera succinea","5.1.2 National level","on going","Categorizada como ""Em perigo"" (EN) na Lista Nacional Oficial de Espécies da Flora Ameaçadas de Extinção (MMA, 2014).","Ministério do Meio Ambiente. 2014. Lista Nacional Oficial de Espécies da Flora Ameaçadas de Extinção. Portaria 443 - 17/12/2014. República Federativa do Brasil."
LORANTHACEAE,"Struthanthus maricensis","1.1 Site/area protection","on going","A espécie ocorre em localidades da Restinga de Maricá (C.H.R.de Paula 492; L.C.Giordano 169), que faz parte da APA de Maricá, e em localidades da Reserva Ecológica Estadual de Massambaba (J. Fontella 3188) e do Parque Estadual Serra da Tiririca (A.A.A.M. de Barros 828). ",
APIACEAE,"Eryngium fluminense","1.1 Site/area protection","on going","A espécie possui registros de coleta dentro dos limites do Parque Nacional da Serra dos Órgãos (G. Gardner 432) e Parque Estadual dos Três Picos (R.C. Forzza 3415).",
ANNONACEAE,"Annona parviflora","2.1 Site/area management","on going","A favela existente no morro da Babilônia é considerada uma favela ecológica, pelo envolvimento dos moradores do morro da Babilônia com a preservação ambiental (Moraes, 2013). Isso pode ser pode ser visto em diversas ações, como o reflorestamento de diversas áreas do recém-criado Parque Natural Municipal,e iniciativa comunitárias como o projeto favela Orgânica, que tem como principal ação ensinar aos moradores o reaproveitamento de alimentos, evitando o desperdício, e a CoopBabilônia, que administra atividade de ecoturismo e reflorestamento na unidade de conservação local (Moraes, 2013).","Moraes, C., 2013. A invenção da favela ecológica: um olhar sobre turismo e meio ambiente no Morro Babilônia. Estud. sociol. 18, 459–474."
ANNONACEAE,"Annona parviflora","1 Land/water protection","on going","A espécie ocorre no interior quatro Unidades de Conservação: o Parque Natural Municipal Paisagem Carioca (F.C. Hoehne, s.n.), o Parque Nacional da Tijuca (A. Lobão, 1928), o Parque Estadual da Pedra Branca (M. C. Souza, 426) e a Reserva Ecológica do Rio das Pedras (M.G. Bovini, 1086). ",
ANNONACEAE,"Annona parviflora","5.1.2 National level","on going","Categorizada como “Em perigo” (EN) no Livro Vermelho da Flora do Brasil (Martinelli and Moraes, 2013). ","Martinelli, G., Moraes, M.A., 2013. Livro vermelho da flora do Brasil. Andrea Jakobsson: Instituto de Pesquisas Jardim Botânico do Rio de Janeiro, Rio de Janeiro."
BURSERACEAE,"Tetragastris breviacuminata","3.4 Ex-situ conservation","on going","Há um registro recente da espécie para o Jardim Botânico do Rio de Janeiro (M.V.Stefano; 254), datado do ano de 2011. ",
COMBRETACEAE,"Terminalia acuminata","5.1.1 International level","on going","A espécie foi considerada Extinta na Natureza (EW) na lista da IUCN (2010).",
COMBRETACEAE,"Terminalia acuminata","5.1.2 National level","on going","Foi considerada Deficiente de Dados (DD) na Lista vermelha da flora do Brasil (MMA, 2008), Anexo II. Foi considerada Em Perigo (EN) em avaliação de risco empreendida em 2013 pelo CNCFlora.",
