family,scientificNameWithoutAuthorship,scientificNameAuthorship,acceptedNameUsage
BROMELIACEAE,"Aechmea dealbata","E.Morren ex Baker","Aechmea dealbata E.Morren ex Baker"
BROMELIACEAE,"Aechmea fasciata","(Lindl.) Baker","Aechmea fasciata (Lindl.) Baker"
BROMELIACEAE,"Aechmea flavorosea",E.Pereira,"Aechmea flavorosea E.Pereira"
BROMELIACEAE,"Aechmea grazielae","Martinelli & Leme","Aechmea grazielae Martinelli & Leme"
BROMELIACEAE,"Aechmea paratiensis","Leme & Fraga","Aechmea paratiensis Leme & Fraga"
BROMELIACEAE,"Aechmea prava",E.Pereira,"Aechmea prava E.Pereira"
BROMELIACEAE,"Aechmea squarrosa",Baker,"Aechmea squarrosa Baker"
BROMELIACEAE,"Alcantarea farneyi","(Martinelli & A.F.Costa) J.R.Grant","Alcantarea farneyi (Martinelli & A.F.Costa) J.R.Grant"
BROMELIACEAE,"Alcantarea geniculata","(Wawra) J.R.Grant","Alcantarea geniculata (Wawra) J.R.Grant"
BROMELIACEAE,"Alcantarea glaziouana","(Leme) J.R.Grant","Alcantarea glaziouana (Leme) J.R.Grant"
BROMELIACEAE,"Alcantarea heloisae",J.R.Grant,"Alcantarea heloisae J.R.Grant"
BROMELIACEAE,"Alcantarea martinellii","Versieux & Wand.","Alcantarea martinellii Versieux & Wand."
BROMELIACEAE,"Alcantarea nevaresii","(Leme) J.R.Grant","Alcantarea nevaresii (Leme) J.R.Grant"
BROMELIACEAE,"Alcantarea tortuosa","Versieux & Wand.","Alcantarea tortuosa Versieux & Wand."
BROMELIACEAE,"Billbergia amandae",W.Weber,"Billbergia amandae W.Weber"
BROMELIACEAE,"Billbergia brasiliensis",L.B.Sm.,"Billbergia brasiliensis L.B.Sm."
BROMELIACEAE,"Billbergia macracantha",E.Pereira,"Billbergia macracantha E.Pereira"
BROMELIACEAE,"Canistropsis correia-araujoi","(E.Pereira & Leme) Leme","Canistropsis correia-araujoi (E.Pereira & Leme) Leme"
BROMELIACEAE,"Canistropsis elata","(E.Pereira & Leme) Leme","Canistropsis elata (E.Pereira & Leme) Leme"
BROMELIACEAE,"Canistropsis marceloi","(E.Pereira & Moutinho) Leme","Canistropsis marceloi (E.Pereira & Moutinho) Leme"
BROMELIACEAE,"Canistropsis pulcherrima","(E.Pereira & Leme) Leme","Canistropsis pulcherrima (E.Pereira & Leme) Leme"
BROMELIACEAE,"Cryptanthus bromelioides","Otto & A.Dietr.","Cryptanthus bromelioides Otto & A.Dietr."
BROMELIACEAE,"Cryptanthus delicatus",Leme,"Cryptanthus delicatus Leme"
BROMELIACEAE,"Cryptanthus sinuosus",L.B.Sm.,"Cryptanthus sinuosus L.B.Sm."
BROMELIACEAE,"Dyckia martinellii","B.R. Silva & Forzza","Dyckia martinellii B.R. Silva & Forzza"
BROMELIACEAE,"Dyckia pseudococcinea",L.B.Sm.,"Dyckia pseudococcinea L.B.Sm."
BROMELIACEAE,"Neoregelia abendrothae",L.B.Sm.,"Neoregelia abendrothae L.B.Sm."
