occurrenceID,family,familyAccepted,acceptedNameUsage,acceptedNameUsageWithoutAuthorship,decimalLatitude,decimalLongitude,georeferenceProtocol,georeferenceVerificationStatus,georeferencedBy,georeferencedDate,georeferencePrecision,coordinateUncertaintyInMeters,acceptedNameUsage,valid,validation_taxonomy,validation_cultivated,validation_duplicated,validation_native,validation_georeference,contributor,remarks
BRA:ESALQ:ESA:0000111746,Begoniaceae,BEGONIACEAE,"Begonia ramentacea Paxton","Begonia ramentacea",,,,,,,,,"Begonia ramentacea Paxton",,,,,,,"Lucas Moraes",
BRA:FURB:FURB:0000045301,Orchidaceae,ORCHIDACEAE,"Eurystyles lobata Chiron & V.P.Castro","Eurystyles lobata",-27.25556,-49.5615,,,,,,,"Eurystyles lobata Chiron & V.P.Castro",,,,,,,"Marta Moraes",
BRA:HPL:HPL:0000001648,Begoniaceae,BEGONIACEAE,"Begonia ramentacea Paxton","Begonia ramentacea",,,,,,,,,"Begonia ramentacea Paxton",,,,,,,"Lucas Moraes",
BRA:HPL:HPL:0000001650,Begoniaceae,BEGONIACEAE,"Begonia ramentacea Paxton","Begonia ramentacea",,,,,,,,,"Begonia ramentacea Paxton",,,,,,,"Lucas Moraes",
BRA:HPL:HPL:0000001923,Begoniaceae,BEGONIACEAE,"Begonia sanguinea Raddi","Begonia sanguinea",,,,,,,,,"Begonia sanguinea Raddi",,,,,,,"Lucas Moraes",
BRA:HPL:HPL:0000011840,Myrtaceae,MYRTACEAE,"Campomanesia hirsuta Gardner","Campomanesia hirsuta",-19.371132,-42.542518,sig,ok,"Fernanda Wimmer",,,"centroide de municipio","Campomanesia hirsuta Gardner",true,,,,,,"Fernanda Wimmer ; Lucas Moulton",
BRA:IAC:IAC:0000035950,Araliaceae,ARALIACEAE,"Dendropanax heterophyllus (Marchal) Frodin","Dendropanax heterophyllus",-23.361459,-44.887178,"google earth",ok,"Fernanda Wimmer",,,"250 a 1000 m","Dendropanax heterophyllus (Marchal) Frodin",true,,,,,,"Fernanda Wimmer ; Lucas Moulton",
BRA:IAP:PACA-AGP:0000011536,Rubiaceae,RUBIACEAE,"Manettia pedunculata (Spreng.) K.Schum.","Manettia pedunculata",,,,,,,,,"Manettia pedunculata (Spreng.) K.Schum.",,,,,,,"Raquel Negrão",
BRA:IAP:PACA-AGP:0000043392,Rubiaceae,RUBIACEAE,"Psychotria subspathacea Müll.Arg.","Psychotria subspathacea",,,,,,,,,"Psychotria subspathacea Müll.Arg.",,,,,,,"Raquel Negrão",
BRA:IAP:PACA-AGP:0000046237,Rubiaceae,RUBIACEAE,"Psychotria subspathacea Müll.Arg.","Psychotria subspathacea",,,,,,,,,"Psychotria subspathacea Müll.Arg.",,,,,,,"Raquel Negrão",
