family,scientificNameWithoutAuthorship,scientificNameAuthorship,analysis,assessment,category,criteria
BEGONIACEAE,"Begonia lunaris",E.L.Jacques,validation,,,
BEGONIACEAE,"Begonia magdalenensis",Brade,validation,,,
BEGONIACEAE,"Begonia olsoniae","L.B.Sm. & B.G.Schub.",validation,,,
BEGONIACEAE,"Begonia parvifolia",Schott,validation,,,
BEGONIACEAE,"Begonia princeps",A.DC.,validation,,,
BEGONIACEAE,"Begonia pseudolubbersii",Brade,validation,,,
BEGONIACEAE,"Begonia ramentacea",Paxton,validation,,,
BEGONIACEAE,"Begonia rotunda",Vell.,validation,,,
BEGONIACEAE,"Begonia rubropilosa",A.DC.,validation,,,
BEGONIACEAE,"Begonia sanguinea",Raddi,validation,,,
BEGONIACEAE,"Begonia semidigitata",Brade,validation,,,
BEGONIACEAE,"Begonia valida",Goebel,validation,,,
BEGONIACEAE,"Begonia velloziana",Walp.,validation,,,
BIGNONIACEAE,"Adenocalymma bullatum","Bureau & K.Schum.",done,review,DD,
BIGNONIACEAE,"Bignonia costata","(Bureau & K.Schum.) L.G.Lohmann",done,review,EN,"B1ab(i,ii,iii,iv)+2ab(i,ii,iii,iv)"
BIGNONIACEAE,"Fridericia elegans","(Vell.) L.G.Lohmann",validation,review,VU,"B1ab(i,ii,iii,iv)+2ab(i,ii,iii,iv)"
BIGNONIACEAE,"Jacaranda crassifolia",Morawetz,done,review,EN,"B1ab(ii,iii,iv)+2ab(ii,iii,iv)"
BROMELIACEAE,"Aechmea caesia","E.Morren ex Baker",validation,,,
BROMELIACEAE,"Aechmea cariocae",L.B.Sm.,validation,,,
BROMELIACEAE,"Aechmea dealbata","E.Morren ex Baker",validation,,,
BROMELIACEAE,"Aechmea fasciata","(Lindl.) Baker",validation,,,
BROMELIACEAE,"Aechmea grazielae","Martinelli & Leme",validation,,,
BROMELIACEAE,"Aechmea paratiensis","Leme & Fraga",validation,,,
BROMELIACEAE,"Aechmea prava",E.Pereira,validation,,,
BROMELIACEAE,"Aechmea squarrosa",Baker,validation,,,
BROMELIACEAE,"Alcantarea farneyi","(Martinelli & A.F.Costa) J.R.Grant",validation,,,
BROMELIACEAE,"Alcantarea geniculata","(Wawra) J.R.Grant",validation,,,
BROMELIACEAE,"Alcantarea glaziouana","(Leme) J.R.Grant",validation,,,
BROMELIACEAE,"Alcantarea heloisae",J.R.Grant,validation,,,
BROMELIACEAE,"Alcantarea martinellii","Versieux & Wand.",validation,,,
BROMELIACEAE,"Alcantarea nevaresii","(Leme) J.R.Grant",validation,,,
BROMELIACEAE,"Alcantarea tortuosa","Versieux & Wand.",validation,,,
BROMELIACEAE,"Billbergia amandae",W.Weber,validation,,,
BROMELIACEAE,"Billbergia brasiliensis",L.B.Sm.,validation,,,
BROMELIACEAE,"Billbergia macracantha",E.Pereira,validation,,,
BROMELIACEAE,"Canistropsis correia-araujoi","(E.Pereira & Leme) Leme",validation,,,
BROMELIACEAE,"Canistropsis elata","(E.Pereira & Leme) Leme",validation,,,
BROMELIACEAE,"Canistropsis marceloi","(E.Pereira & Moutinho) Leme",validation,,,
BROMELIACEAE,"Canistropsis pulcherrima","(E.Pereira & Leme) Leme",validation,,,
BROMELIACEAE,"Cryptanthus bromelioides","Otto & A.Dietr.",validation,,,
BROMELIACEAE,"Cryptanthus delicatus",Leme,done,,,
BROMELIACEAE,"Cryptanthus sinuosus",L.B.Sm.,validation,,,
BROMELIACEAE,"Dyckia martinellii","B.R. Silva & Forzza",validation,,,
BROMELIACEAE,"Dyckia pseudococcinea",L.B.Sm.,validation,,,
BROMELIACEAE,"Neoregelia abendrothae",L.B.Sm.,validation,review,CR,"B1ab(i,iii)"
BROMELIACEAE,"Neoregelia bragarum","(E.Pereira & L.B.Sm.) Leme",done,review,EN,"B1ab(i,iii)"
BROMELIACEAE,"Neoregelia camorimiana","E.Pereira & I.A.Penna",done,review,DD,
BROMELIACEAE,"Neoregelia carinata",Leme,done,review,CR,"B2ab(i,ii,iii)"
BROMELIACEAE,"Neoregelia coimbrae","E.Pereira & Leme",done,review,EN,"B1ab(i,ii,iii)+2ab(i,ii,iii)"
BROMELIACEAE,"Neoregelia coriacea","(Antoine) L.B.Sm.",done,review,DD,
BROMELIACEAE,"Neoregelia correia-araujoi","E.Pereira & I.A.Penna",done,review,DD,
BROMELIACEAE,"Neoregelia desenganensis",Leme,done,review,DD,
BROMELIACEAE,"Neoregelia eltoniana",W.Weber,validation,review,EN,"A2c;B1ab(i,ii,iii)+2ab(i,ii,iii)"
BROMELIACEAE,"Neoregelia fluminensis",L.B.Sm.,done,review,EN,"B2ab(i,iii)"
BROMELIACEAE,"Neoregelia fosteriana",L.B.Sm.,done,review,CR,"B1ab(i,iii)"
BROMELIACEAE,"Neoregelia gavionensis","Martinelli & Leme",done,review,DD,
BROMELIACEAE,"Neoregelia ilhana",Leme,done,review,CR,"B2ab(i,ii,iii)"
BROMELIACEAE,"Neoregelia indecora","(Mez) L.B.Sm.",done,review,EN,"B1ab(i,ii,iii)+2ab(i,ii,iii)"
