family,scientificNameWithoutAuthorship,scientificNameAuthorship,analysis,assessment,category,criteria,rationale
DILLENIACEAE,"Doliocarpus littoralis","(Kubitzki) Fraga & Stehmann",open,,,,
DIOSCOREACEAE,"Dioscorea bradei",R.Knuth,,,,,
DIOSCOREACEAE,"Dioscorea campanulata","Uline ex R.Knuth",,,,,
DIOSCOREACEAE,"Dioscorea campos-portoi",R.Knuth,,,,,
DIOSCOREACEAE,"Dioscorea itatiaiensis",R.Knuth,,,,,
DIOSCOREACEAE,"Dioscorea margarethia","G.M.Barroso et al.",,,,,
DIOSCOREACEAE,"Dioscorea oppositiflora",Griseb.,,,,,
DIOSCOREACEAE,"Dioscorea organensis",R.Knuth,,,,,
DIOSCOREACEAE,"Dioscorea pedalis","(Uline ex R. Knuth) R. Couto & J. M. A. Braga",,,,,
DIOSCOREACEAE,"Dioscorea pseudomacrocapsa","G.M.Barroso et al.",,,,,
DIOSCOREACEAE,"Dioscorea pumilio",Griseb.,,,,,
DIOSCOREACEAE,"Dioscorea septemnervis",Vell.,,,,,
