"Familia";"Especie";"Endemica";"Altitude";"EOO";"AOO";"Válidos";"Inválidos";"Não validados";"Total registros"
CHRYSOBALANACEAE;Hirtella juruensis;yes;;35.123,0km²;12,0km²;5;1;0;6;
LAMIACEAE;Hypenia concinna;yes;;258,82km²;4,0km²;0;0;1;1;
LAMIACEAE;Hypenia paradisi;yes;;208,81km²;12,0km²;0;0;8;8;
LAMIACEAE;Hyptidendron dictiocalyx;yes;;998,84km²;12,0km²;0;0;3;3;
LAMIACEAE;Hyptis argyrophylla;yes;;3.904,29km²;56,0km²;0;0;21;21;
LAMIACEAE;Hyptis asteroides;yes;;369,74km²;8,0km²;1;0;5;6;
LAMIACEAE;Hyptis caduca;yes;;257,65km²;4,0km²;0;0;2;2;
LAMIACEAE;Hyptis coriacea;yes;;0,28km²;12,0km²;0;0;4;4;
LAMIACEAE;Hyptis cuniloides;yes;;15.166,95km²;96,0km²;0;0;57;57;
LAMIACEAE;Hyptis dictyodea;yes;;20.239,73km²;24,0km²;0;0;7;7;
LAMIACEAE;Hyptis hagei;yes;;9.933,75km²;76,0km²;0;0;46;46;
LAMIACEAE;Hyptis halimifolia;yes;;2.874,11km²;80,0km²;0;0;21;21;
LAMIACEAE;Hyptis heterophylla;yes;;522,24km²;8,0km²;0;0;4;4;
LAMIACEAE;Hyptis humilis;yes;;1.604,17km²;12,0km²;0;0;4;4;
LAMIACEAE;Hyptis irwinii;yes;1000;7.577,92km²;96,0km²;0;0;52;52;
LAMIACEAE;Hyptis loeseneriana;yes;;263,03km²;4,0km²;0;0;2;2;
LAMIACEAE;Hyptis nivea;yes;;1.006,96km²;16,0km²;0;0;7;7;
LAMIACEAE;Hyptis nubicola;yes;1500;1.089,75km²;64,0km²;0;0;27;27;
LAMIACEAE;Hyptis silvinae;yes;;1.200,65km²;48,0km²;0;0;17;17;
LAMIACEAE;Hyptis tenuifolia;yes;;153.856,82km²;44,0km²;0;0;21;21;
ASTERACEAE;Ichthyothere mattogrossensis;yes;;269,98km²;4,0km²;0;0;1;1;
ASTERACEAE;Ichthyothere petiolata;yes;;6.276,67km²;12,0km²;0;0;4;4;
AQUIFOLIACEAE;Ilex mucugensis;yes;1000;124,56km²;12,0km²;6;0;0;6;
CONVOLVULACEAE;Ipomoea calyptrata;no;;264,24km²;4,0km²;1;1;2;4;
BIGNONIACEAE;Jacaranda racemosa;yes;1100~1300;7.406,5km²;112,0km²;80;60;0;140;
MALPIGHIACEAE;Janusia christianeae;yes;450~800;518,87km²;8,0km²;2;2;0;4;
ACANTHACEAE;Justicia clivalis;yes;750~950;112.697,11km²;44,0km²;0;2;25;27;
CALOPHYLLACEAE;Kielmeyera anisosepala;yes;780;n/a;n/a;0;1;0;1;
CALOPHYLLACEAE;Kielmeyera juruensis;yes;;n/a;n/a;0;1;0;1;
CALOPHYLLACEAE;Kielmeyera trichophora;yes;1200;528,95km²;8,0km²;3;1;0;4;
CYPERACEAE;Lagenocarpus adamantinus;yes;;5.282,88km²;52,0km²;0;1;24;25;
CUNONIACEAE;Lamanonia brasiliensis;yes;1235;719,39km²;56,0km²;26;1;0;27;
VERBENACEAE;Lantana gracilis;yes;;1.446.984,21km²;n/a;70;0;1;71;
BROMELIACEAE;Lapanthus itambensis;;;386,25km²;8,0km²;0;3;2;5;
MELASTOMATACEAE;Lavoisiera adamantium;yes;1400;196,11km²;20,0km²;9;17;0;26;
MELASTOMATACEAE;Lavoisiera angustifolia;yes;;537,64km²;8,0km²;2;1;1;4;
