"Familia";"Especie";"Ação";"Situação"
VELLOZIACEAE;Vellozia spiralis;1.1 Site/area protection;on going;
VOCHYSIACEAE;Vochysia petraea;1.1 Site/area protection;on going;
VOCHYSIACEAE;Vochysia pygmaea;1.1 Site/area protection;on going;
VOCHYSIACEAE;Vochysia rotundifolia;1.1 Site/area protection;on going;
ASTERACEAE;Wedelia souzae;1.1 Site/area protection;on going;
XYRIDACEAE;Xyris archeri;1.1 Site/area protection;on going;
XYRIDACEAE;Xyris diaphanobracteata;1.1 Site/area protection;;
XYRIDACEAE;Xyris goyazensis;1.1 Site/area protection;on going;
XYRIDACEAE;Xyris jataiana;1.1 Site/area protection;on going;
XYRIDACEAE;Xyris lanuginosa;1.1 Site/area protection;on going;
XYRIDACEAE;Xyris mertensiana;1.1 Site/area protection;on going;
XYRIDACEAE;Xyris obcordata;1.1 Site/area protection;on going;
XYRIDACEAE;Xyris paradisiaca;1.1 Site/area protection;on going;
XYRIDACEAE;Xyris picea;1.1 Site/area protection;needed;
XYRIDACEAE;Xyris pranceana;1.1 Site/area protection;on going;
XYRIDACEAE;Xyris rupicola;1.1 Site/area protection;on going;
XYRIDACEAE;Xyris spectabilis;1.1 Site/area protection;on going;
XYRIDACEAE;Xyris subsetigera;1.1 Site/area protection;on going;
XYRIDACEAE;Xyris veruina;1.1 Site/area protection;on going;
XYRIDACEAE;Xyris vestita;1.1 Site/area protection;on going;
XYRIDACEAE;Xyris villosicarinata;1.1 Site/area protection;needed;
